Ticker,DTYYYYMMDD,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
TM,19920615,23.25,23.25,23.0,23.0,8500
TM,19920616,23.25,23.375,23.125,23.375,17900
TM,19920617,23.125,23.125,22.875,23.125,13200
TM,19920618,22.75,23.125,22.75,22.875,15500
TM,19920619,22.75,22.875,22.625,22.875,16200
TM,19920622,22.625,22.625,22.5,22.5,51400
TM,19920623,22.625,22.875,22.625,22.875,13500
TM,19920624,22.875,22.875,22.625,22.875,16800
TM,19920625,22.875,23.125,22.75,23.0,12400
TM,19920626,23.0,23.0,22.875,23.0,7700
TM,19920629,23.0,23.125,22.875,23.125,9500
TM,19920630,23.125,23.125,22.875,23.0,10900
TM,19920701,23.0,23.0,22.75,23.0,3500
TM,19920702,23.25,23.5,23.25,23.5,12700
TM,19920706,23.5,23.5,23.125,23.125,16300
TM,19920707,23.125,23.25,23.0,23.0,32900
TM,19920708,23.0,23.125,22.875,22.875,14100
TM,19920709,23.0,23.375,23.0,23.375,16500
TM,19920710,23.375,23.5,23.25,23.5,6600
TM,19920713,23.875,24.0,23.875,24.0,12900
TM,19920714,24.0,24.0,23.75,23.75,122800
TM,19920715,23.75,24.0,23.75,24.0,32900
TM,19920716,24.0,24.0,23.75,23.875,9800
TM,19920717,23.875,23.875,23.625,23.875,7000
TM,19920720,23.0,23.0,22.875,23.0,29000
TM,19920721,23.0,23.0,22.875,23.0,5400
TM,19920722,22.125,22.125,21.875,22.125,60700
TM,19920723,22.125,22.375,22.125,22.125,11000
TM,19920724,22.125,22.125,22.0,22.125,19600
TM,19920727,22.0,22.0,21.75,22.0,85500
TM,19920728,22.0,22.125,21.875,22.125,74500
TM,19920729,21.875,21.875,21.5,21.875,87700
TM,19920730,21.875,21.875,21.625,21.875,31900
TM,19920731,22.0,22.25,22.0,22.25,75700
TM,19920803,22.25,22.25,22.0,22.25,25600
TM,19920804,22.375,22.625,22.375,22.625,22900
TM,19920805,22.625,22.75,22.5,22.5,21200
TM,19920806,22.5,22.625,22.375,22.5,40800
TM,19920807,22.375,22.375,22.0,22.25,43200
TM,19920810,21.875,21.875,21.625,21.75,43900
TM,19920811,21.75,21.875,21.625,21.625,11000
TM,19920812,21.625,21.875,21.625,21.75,21500
TM,19920813,21.75,21.875,21.625,21.875,6600
TM,19920814,21.875,22.125,21.875,22.125,45400
TM,19920817,22.125,22.125,21.875,22.125,9000
TM,19920818,21.875,21.875,21.5,21.875,35000
TM,19920819,21.875,21.875,21.625,21.625,16700
TM,19920820,21.75,22.0,21.75,22.0,7100
TM,19920821,22.375,22.75,22.375,22.5,56800
TM,19920824,22.5,22.875,22.5,22.5,28000
TM,19920825,22.625,22.875,22.625,22.625,25100
TM,19920826,22.625,22.875,22.625,22.875,16500
TM,19920827,23.0,23.25,23.0,23.125,67800
TM,19920828,23.375,23.625,23.375,23.375,17100
TM,19920831,23.375,23.625,23.375,23.375,9100
TM,19920901,23.25,23.25,23.0,23.125,15200
TM,19920902,23.125,23.25,23.0,23.125,39400
TM,19920903,23.5,23.75,23.5,23.5,33500
TM,19920904,23.625,23.875,23.625,23.625,5200
TM,19920908,23.625,23.625,23.375,23.375,10700
TM,19920909,23.5,23.75,23.5,23.75,6400
TM,19920910,23.75,23.875,23.625,23.875,14900
TM,19920911,23.125,23.125,22.875,23.125,2300
TM,19920914,23.125,23.375,23.125,23.375,15400
TM,19920915,23.375,23.5,23.25,23.25,6500
TM,19920916,23.125,23.125,22.875,23.0,24800
TM,19920917,23.125,23.25,23.125,23.25,47400
TM,19920918,23.25,23.375,23.125,23.25,17200
TM,19920921,23.25,23.375,23.25,23.375,16300
TM,19920922,23.5,23.75,23.5,23.5,16100
TM,19920923,23.5,23.75,23.5,23.625,6300
TM,19920924,23.625,23.625,23.375,23.375,3100
TM,19920925,23.25,23.25,22.75,22.875,207200
TM,19920928,23.25,23.5,23.25,23.25,17700
TM,19920929,23.25,23.625,23.0,23.125,58600
TM,19920930,23.125,23.375,23.0,23.125,74500
TM,19921001,23.375,23.625,23.375,23.375,33900
TM,19921002,23.375,23.5,23.125,23.25,51400
TM,19921005,23.25,23.25,22.875,23.125,26600
TM,19921006,23.125,23.25,23.0,23.25,12900
TM,19921007,23.25,23.375,23.125,23.125,7800
TM,19921008,23.25,23.5,23.25,23.5,5100
TM,19921009,23.5,23.625,23.375,23.375,18500
TM,19921012,23.625,23.875,23.625,23.75,13900
TM,19921013,23.75,23.75,23.5,23.5,6100
TM,19921014,23.5,24.0,23.5,24.0,181500
TM,19921015,24.0,24.0,23.75,24.0,78700
TM,19921016,24.0,24.0,23.75,23.875,19500
TM,19921019,23.5,23.5,23.125,23.125,29600
TM,19921020,23.125,23.125,22.75,23.0,20600
TM,19921021,22.75,22.75,22.5,22.625,13800
TM,19921022,22.625,22.875,22.625,22.625,8000
TM,19921023,22.625,22.75,22.5,22.75,2900
TM,19921026,22.75,22.75,22.5,22.5,16500
TM,19921027,22.625,22.75,22.625,22.75,25500
TM,19921028,22.75,22.75,22.375,22.375,13000
TM,19921029,22.375,22.625,22.375,22.5,17300
TM,19921030,22.5,22.75,22.5,22.625,11400
TM,19921102,22.625,22.75,22.375,22.5,31100
TM,19921103,22.5,22.75,22.375,22.5,13400
TM,19921104,22.625,22.75,22.625,22.625,14500
TM,19921105,22.5,22.5,22.25,22.25,9700
TM,19921106,22.25,22.375,21.875,21.875,26700
TM,19921109,21.875,21.875,21.5,21.5,79200
TM,19921110,21.625,21.875,21.625,21.875,11000
TM,19921111,21.875,22.125,21.875,22.125,22400
TM,19921112,22.125,22.25,21.875,22.0,13900
TM,19921113,22.0,22.0,21.875,21.875,9700
TM,19921116,21.875,21.875,21.625,21.625,6100
TM,19921117,21.625,21.875,21.625,21.625,8100
TM,19921118,22.125,22.375,22.125,22.25,8200
TM,19921119,22.5,22.625,22.5,22.5,7400
TM,19921120,22.625,22.875,22.625,22.625,3100
TM,19921123,22.625,22.75,22.625,22.75,14200
TM,19921124,22.75,22.875,22.625,22.625,4700
TM,19921125,22.75,23.0,22.75,22.75,9100
TM,19921127,22.75,22.75,22.625,22.625,5500
TM,19921130,22.625,22.875,22.625,22.75,18700
TM,19921201,22.75,22.875,22.625,22.625,15300
TM,19921202,22.75,23.0,22.75,23.0,145800
TM,19921203,23.0,23.0,22.75,23.0,12400
TM,19921204,23.0,23.0,22.75,22.75,9900
TM,19921207,22.875,23.25,22.875,23.25,20200
TM,19921208,23.25,23.5,23.25,23.375,16800
TM,19921209,23.375,23.5,23.25,23.5,7600
TM,19921210,23.5,23.5,23.25,23.25,15100
TM,19921211,23.25,23.375,23.125,23.375,4900
TM,19921214,23.25,23.25,23.125,23.125,23900
TM,19921215,23.125,23.25,23.0,23.0,14600
TM,19921216,23.125,23.375,23.125,23.125,10900
TM,19921217,23.625,23.875,23.625,23.625,12900
TM,19921218,23.75,23.875,23.75,23.75,14400
TM,19921221,23.875,24.25,23.875,24.125,49100
TM,19921222,24.375,24.625,24.375,24.625,47000
TM,19921223,24.625,24.625,24.375,24.375,15900
TM,19921224,24.375,24.625,24.375,24.5,3000
TM,19921228,24.0,24.0,23.625,23.875,10000
TM,19921229,23.75,23.75,23.5,23.5,10300
TM,19921230,23.5,23.75,23.5,23.5,17500
TM,19921231,23.5,23.75,23.5,23.5,6500
TM,19930104,23.5,23.625,23.375,23.375,2300
TM,19930105,23.25,23.25,23.125,23.125,3900
TM,19930106,23.125,23.25,23.0,23.0,32500
TM,19930107,23.125,23.375,23.125,23.125,125700
TM,19930108,23.0,23.0,22.75,22.75,16400
TM,19930111,22.75,23.0,22.75,22.75,2600
TM,19930112,22.75,23.0,22.75,23.0,4200
TM,19930113,22.5,22.5,22.0,22.125,26000
TM,19930114,22.25,22.5,22.25,22.375,11800
TM,19930115,22.375,22.5,22.25,22.25,8500
TM,19930118,22.375,22.625,22.375,22.5,3900
TM,19930119,22.5,22.75,22.5,22.625,10700
TM,19930120,22.625,22.625,22.375,22.625,10100
TM,19930121,22.5,22.5,22.25,22.375,8500
TM,19930122,22.25,22.25,22.0,22.125,16300
TM,19930125,22.0,22.0,21.75,22.0,7000
TM,19930126,22.0,22.0,21.625,21.625,13600
TM,19930127,21.75,22.0,21.75,21.75,10700
TM,19930128,22.25,22.5,22.25,22.25,16700
TM,19930129,22.5,22.625,22.5,22.5,10700
TM,19930201,22.5,22.5,22.125,22.375,27700
TM,19930202,22.375,22.375,22.125,22.125,3800
TM,19930203,22.75,23.125,22.75,23.0,62800
TM,19930204,23.0,23.0,22.75,22.875,47000
TM,19930205,22.875,23.125,22.75,23.0,30400
TM,19930208,23.0,23.25,22.875,23.125,40900
TM,19930209,23.25,23.5,23.25,23.5,12300
TM,19930210,23.5,23.625,23.375,23.375,12300
TM,19930211,23.5,23.875,23.5,23.625,39800
TM,19930212,23.375,23.375,23.125,23.25,96800
TM,19930216,22.75,22.75,22.25,22.25,30100
TM,19930217,22.375,23.0,22.375,23.0,332100
TM,19930218,22.875,22.875,22.625,22.625,221500
TM,19930219,22.875,23.125,22.875,23.125,11100
TM,19930222,23.125,23.125,22.875,22.875,13800
TM,19930223,22.875,22.875,22.625,22.625,45500
TM,19930224,22.625,22.625,22.5,22.5,22800
TM,19930225,22.5,22.75,22.5,22.5,22100
TM,19930226,22.75,22.875,22.75,22.875,9200
TM,19930301,22.875,23.0,22.75,23.0,12300
TM,19930302,23.0,23.0,22.875,23.0,17100
TM,19930303,23.0,23.0,22.75,22.875,7600
TM,19930304,22.875,22.875,22.625,22.625,4200
TM,19930305,22.625,22.625,22.375,22.375,12400
TM,19930308,23.0,23.125,23.0,23.0,16800
TM,19930309,23.0,23.125,22.75,22.75,12500
TM,19930310,23.125,23.25,23.125,23.25,52500
TM,19930311,23.375,23.625,23.375,23.5,20600
TM,19930312,23.375,23.375,23.125,23.125,6000
TM,19930315,23.125,23.25,23.0,23.0,3300
TM,19930316,23.125,23.375,23.125,23.25,8300
TM,19930317,23.875,24.125,23.875,23.875,58400
TM,19930318,24.375,25.125,24.375,24.875,59000
TM,19930319,24.875,24.875,24.625,24.875,35900
TM,19930322,24.875,24.875,24.625,24.625,24500
TM,19930323,24.625,24.875,24.625,24.75,27300
TM,19930324,24.75,24.875,24.625,24.75,10800
TM,19930325,24.75,25.0,24.75,24.75,6000
TM,19930326,24.875,25.25,24.875,25.0,19300
TM,19930329,25.875,26.125,25.875,25.875,20600
TM,19930330,25.875,26.125,25.875,26.0,26200
TM,19930331,26.0,26.375,26.0,26.375,104500
TM,19930401,26.75,27.0,26.75,26.875,8300
TM,19930402,26.875,26.875,26.5,26.875,83700
TM,19930405,27.125,27.375,27.125,27.125,11500
TM,19930406,27.25,27.375,27.25,27.25,25000
TM,19930407,29.125,29.75,29.125,29.5,114500
TM,19930408,30.0,30.375,30.0,30.25,35100
TM,19930412,30.125,30.125,29.875,29.875,67900
TM,19930413,30.5,30.75,30.5,30.625,37800
TM,19930414,30.125,30.375,30.0,30.0,64200
TM,19930415,30.0,30.25,30.0,30.0,30100
TM,19930416,29.875,30.0,29.875,29.875,36100
TM,19930419,30.125,30.375,29.625,30.125,34000
TM,19930420,29.875,30.125,29.625,29.625,125400
TM,19930421,29.5,29.625,29.5,29.5,27900
TM,19930422,29.375,29.625,29.375,29.375,27000
TM,19930423,29.375,29.625,29.375,29.375,9700
TM,19930426,29.375,29.625,29.375,29.625,31600
TM,19930427,30.25,30.375,30.125,30.125,46900
TM,19930428,30.625,30.875,30.625,30.625,19000
TM,19930429,30.625,30.875,30.625,30.625,11900
TM,19930430,31.375,31.625,31.375,31.625,32300
TM,19930503,31.5,31.625,31.5,31.625,13600
TM,19930504,31.5,31.75,31.5,31.625,40500
TM,19930505,31.625,31.75,31.625,31.625,9600
TM,19930506,31.375,31.625,31.375,31.375,8200
TM,19930507,31.5,31.625,31.375,31.375,19100
TM,19930510,31.125,31.375,31.125,31.125,7500
TM,19930511,31.0,31.0,30.75,30.75,44400
TM,19930512,30.375,30.375,30.125,30.125,13300
TM,19930513,30.75,30.875,30.125,30.75,13000
TM,19930514,30.625,30.625,30.375,30.375,4300
TM,19930517,30.375,30.625,30.375,30.5,18100
TM,19930518,30.0,30.0,29.75,29.875,9100
TM,19930519,30.125,30.25,30.0,30.0,21300
TM,19930520,30.5,30.625,30.5,30.5,12700
TM,19930521,30.75,31.0,30.75,30.75,8000
TM,19930524,30.875,30.875,30.875,30.875,6200
TM,19930525,31.0,31.375,31.0,31.125,20600
TM,19930526,31.5,31.875,31.5,31.875,12100
TM,19930527,31.0,31.125,31.0,31.0,9100
TM,19930528,30.625,30.875,30.5,30.5,5200
TM,19930601,30.375,30.625,30.375,30.375,3700
TM,19930602,30.375,30.625,30.375,30.375,76300
TM,19930603,31.375,31.75,31.375,31.625,53500
TM,19930604,31.375,31.5,31.375,31.5,22300
TM,19930607,31.375,31.5,31.375,31.375,4100
TM,19930608,31.0,31.0,30.875,31.0,5800
TM,19930609,30.875,31.0,30.875,31.0,1800
TM,19930610,31.0,31.125,31.0,31.0,5200
TM,19930611,31.125,31.25,31.125,31.125,7900
TM,19930614,31.0,31.25,31.0,31.25,15000
TM,19930615,30.0,30.0,29.5,29.75,118100
TM,19930616,29.75,29.875,29.625,29.625,24100
TM,19930617,29.75,29.75,29.5,29.75,107200
TM,19930618,28.625,28.75,28.375,28.625,50700
TM,19930621,27.375,27.375,27.125,27.125,18800
TM,19930622,27.875,27.875,27.625,27.75,29800
TM,19930623,27.625,27.875,27.625,27.875,10400
TM,19930624,27.875,28.125,27.875,28.125,800
TM,19930625,28.5,28.75,28.5,28.625,7900
TM,19930628,29.25,29.375,29.25,29.25,4100
TM,19930629,28.5,28.5,28.375,28.375,23600
TM,19930630,28.625,28.875,28.625,28.75,7200
TM,19930701,29.25,29.375,29.125,29.375,14400
TM,19930702,28.625,28.75,28.375,28.375,15300
TM,19930706,28.5,28.75,28.5,28.625,16200
TM,19930707,28.25,28.625,28.25,28.375,3700
TM,19930708,28.25,28.25,28.25,28.25,5800
TM,19930709,28.375,28.375,28.25,28.375,3500
TM,19930712,28.625,28.875,28.625,28.625,4200
TM,19930713,29.25,29.375,29.25,29.25,40400
TM,19930714,29.25,29.375,29.25,29.375,2000
TM,19930715,29.5,29.5,29.5,29.5,8400
TM,19930716,30.0,30.0,29.875,29.875,11800
TM,19930719,29.75,29.875,29.625,29.625,13800
TM,19930720,29.5,29.75,29.5,29.5,1800
TM,19930721,29.625,29.75,29.625,29.75,3100
TM,19930722,30.125,30.25,29.875,30.25,5100
TM,19930723,30.0,30.125,30.0,30.125,4900
TM,19930726,30.0,30.125,30.0,30.0,4500
TM,19930727,30.25,30.5,30.25,30.25,3600
TM,19930728,30.625,31.0,30.625,30.625,3600
TM,19930729,30.875,31.125,30.875,30.875,3300
TM,19930730,31.0,31.25,31.0,31.25,3600
TM,19930802,31.0,31.25,31.0,31.25,19500
TM,19930803,31.25,31.25,31.0,31.25,4300
TM,19930804,31.5,31.75,31.5,31.75,5100
TM,19930805,31.625,31.875,31.625,31.625,7800
TM,19930806,31.625,31.625,31.625,31.625,1800
TM,19930809,31.5,31.75,31.5,31.5,4800
TM,19930810,31.5,31.625,31.5,31.625,7600
TM,19930811,31.625,32.0,31.625,32.0,20700
TM,19930812,31.375,31.375,31.125,31.25,1400
TM,19930813,31.5,31.5,31.375,31.375,11600
TM,19930816,32.375,32.625,32.375,32.375,13300
TM,19930817,32.0,32.25,32.0,32.25,9200
TM,19930818,32.0,32.25,32.0,32.0,34000
TM,19930819,32.0,32.25,30.625,30.625,69900
TM,19930820,31.0,31.125,31.0,31.0,54700
TM,19930823,31.5,31.625,31.5,31.5,42000
TM,19930824,31.25,31.375,31.25,31.25,15000
TM,19930825,31.25,31.375,31.25,31.375,13500
TM,19930826,31.25,31.5,31.25,31.375,10000
TM,19930827,31.625,31.75,31.5,31.5,109500
TM,19930830,31.625,31.875,31.625,31.625,20200
TM,19930831,32.125,32.125,32.0,32.0,22600
TM,19930901,31.875,32.0,31.75,31.75,22100
TM,19930902,31.625,31.75,31.625,31.75,8300
TM,19930903,32.0,32.25,32.0,32.125,11900
TM,19930907,32.5,32.5,32.25,32.5,85300
TM,19930908,32.125,32.25,32.0,32.0,74300
TM,19930909,32.25,32.375,32.125,32.125,17100
TM,19930910,32.0,32.375,32.0,32.25,21800
TM,19930913,32.125,32.125,32.125,32.125,2000
TM,19930914,32.0,32.25,32.0,32.25,16400
TM,19930915,32.0,32.25,32.0,32.0,7300
TM,19930916,31.75,31.75,31.75,31.75,5400
TM,19930917,32.0,32.125,31.875,31.875,2100
TM,19930920,31.875,32.0,31.75,31.75,4200
TM,19930921,31.125,31.25,30.875,31.0,14700
TM,19930922,30.75,30.75,30.75,30.75,6300
TM,19930923,30.75,31.0,30.75,30.75,4800
TM,19930924,31.5,31.75,31.5,31.75,20200
TM,19930927,31.25,31.375,31.25,31.25,1900
TM,19930928,31.75,31.875,31.625,31.75,39100
TM,19930929,31.75,31.875,31.75,31.875,3700
TM,19930930,32.5,32.625,32.375,32.375,23200
TM,19931001,32.0,32.0,31.875,32.0,3000
TM,19931004,32.125,32.25,32.125,32.125,5600
TM,19931005,32.875,33.0,32.875,32.875,6200
TM,19931006,33.25,33.25,33.25,33.25,18500
TM,19931007,33.375,33.5,33.375,33.375,23600
TM,19931008,33.5,33.5,33.375,33.375,7600
TM,19931011,33.375,33.5,33.25,33.25,8400
TM,19931012,33.25,33.5,33.25,33.25,3300
TM,19931013,33.375,33.375,33.125,33.125,2600
TM,19931014,33.125,33.125,32.875,32.875,3900
TM,19931015,33.125,33.375,33.125,33.375,10200
TM,19931018,33.25,33.25,33.125,33.25,2600
TM,19931019,33.25,33.5,33.25,33.25,25100
TM,19931020,33.375,33.5,33.375,33.375,3700
TM,19931021,33.5,33.625,33.375,33.375,11700
TM,19931022,34.0,34.125,34.0,34.125,3800
TM,19931025,34.375,34.5,34.375,34.5,4200
TM,19931026,34.125,34.375,34.125,34.125,1700
TM,19931027,34.0,34.0,33.875,33.875,4300
TM,19931028,33.625,33.875,33.625,33.875,35400
TM,19931029,34.375,34.375,34.375,34.375,600
TM,19931101,34.75,34.875,34.75,34.875,7400
TM,19931102,34.625,34.75,34.5,34.75,7300
TM,19931103,34.625,34.875,34.625,34.625,5100
TM,19931104,34.375,34.375,34.125,34.125,55700
TM,19931105,33.75,33.875,33.75,33.75,23600
TM,19931108,33.875,34.0,33.875,33.875,5700
TM,19931109,33.25,33.375,33.25,33.25,10700
TM,19931110,33.5,33.75,33.5,33.625,14300
TM,19931111,33.375,33.5,33.25,33.375,10100
TM,19931112,33.625,34.0,33.625,34.0,15500
TM,19931115,33.5,33.625,33.375,33.375,6000
TM,19931116,33.625,33.875,33.625,33.875,23500
TM,19931117,33.25,33.5,33.25,33.25,11500
TM,19931118,33.625,33.75,33.625,33.625,8800
TM,19931119,33.25,33.375,33.125,33.25,32800
TM,19931122,32.75,32.75,32.5,32.5,60300
TM,19931123,32.5,32.75,32.5,32.75,18000
TM,19931124,32.125,32.25,31.875,32.25,14800
TM,19931126,30.375,30.625,30.375,30.375,11300
TM,19931129,28.0,28.25,28.0,28.0,14300
TM,19931130,29.875,30.125,29.875,29.875,13600
TM,19931201,31.875,31.875,31.625,31.75,61800
TM,19931202,31.875,32.0,31.875,31.875,15000
TM,19931203,32.0,32.0,31.75,31.875,7700
TM,19931206,31.25,31.375,31.25,31.25,7200
TM,19931207,32.125,32.5,32.125,32.5,65900
TM,19931208,31.5,31.625,31.375,31.625,26900
TM,19931209,32.375,32.625,32.375,32.5,4400
TM,19931210,32.625,32.625,32.375,32.375,1700
TM,19931213,32.625,32.875,32.625,32.625,5700
TM,19931214,32.25,32.375,32.125,32.125,11200
TM,19931215,32.125,32.25,32.0,32.25,16400
TM,19931216,32.125,32.125,32.0,32.125,9500
TM,19931217,32.5,32.625,32.5,32.625,7800
TM,19931220,31.625,31.75,31.625,31.625,6000
TM,19931221,31.5,31.75,31.5,31.5,5700
TM,19931222,31.5,31.75,31.5,31.5,6700
TM,19931223,31.75,31.75,31.5,31.75,3300
TM,19931227,30.75,30.75,30.5,30.625,1000
TM,19931228,31.25,31.5,31.25,31.25,3500
TM,19931229,31.75,31.875,31.75,31.875,8700
TM,19931230,31.75,32.0,31.75,32.0,4700
TM,19931231,31.75,32.0,31.75,32.0,12200
TM,19940103,31.75,32.0,31.75,32.0,2500
TM,19940104,31.875,32.0,31.75,31.75,54600
TM,19940105,32.0,32.375,32.0,32.125,18600
TM,19940106,32.25,32.375,32.25,32.25,9300
TM,19940107,32.75,33.0,32.75,33.0,15700
TM,19940110,33.0,33.0,32.875,33.0,14400
TM,19940111,32.625,32.75,32.625,32.625,8400
TM,19940112,32.75,32.75,32.5,32.5,4700
TM,19940113,32.5,32.625,32.375,32.375,11600
TM,19940114,33.125,33.375,33.125,33.375,81600
TM,19940117,33.375,33.5,33.375,33.375,8200
TM,19940118,33.125,33.25,33.0,33.25,11100
TM,19940119,33.625,33.875,33.5,33.875,12400
TM,19940120,33.625,33.875,33.625,33.625,16400
TM,19940121,33.0,33.125,32.875,33.125,32300
TM,19940124,32.25,32.5,32.25,32.25,10400
TM,19940125,32.625,33.0,32.625,33.0,42800
TM,19940126,33.125,33.375,33.125,33.25,7400
TM,19940127,33.125,33.25,33.0,33.125,54200
TM,19940128,34.0,34.625,34.0,34.625,81600
TM,19940131,36.0,36.375,36.0,36.125,44300
